Issue Type,Issue key,Issue id,Created,Summary,Assignee,Reporter,Priority,Status,Resolution,Updated,Due Date,Security Level,Component/s
Bug,BESU-179,44027,20/Jan/20 6:31 AM,clique_getSignerMetrics doesn't return missing signers,,madelinemurray,Medium,Done,Done,31/Jan/20 7:03 AM,,,
Task,BESU-182,44129,24/Jan/20 12:19 PM,Add unit tests to show FilterParameter topics being loaded from json objects,PaulHarris 1,PaulHarris 1,Medium,Done,Done,28/Jan/20 1:20 PM,,,
Bug,BESU-64,43172,06/Nov/19 11:02 PM,Log Filter performance too slow in 2mi blocks chain,,timbeiko,Medium,Done,Done,25/Jan/20 3:55 AM,,,
Bug,BESU-175,43964,14/Jan/20 11:52 AM,Bootnode as a non-validator does not work in an IBFT2.0 network with Permissioning,,arash009,Medium,Done,Done,23/Jan/20 9:48 AM,,,
Improvement,BESU-77,43200,07/Nov/19 12:32 PM,Modify Besu to accept TLS connections on rpc-http interface from EthSigner and/or other clients,usmansaleem,arash009,Medium,Done,Done,13/Jan/20 8:17 PM,,,
Task,BESU-154,43673,11/Dec/19 4:14 PM,Enable user to access privateFrom in the EVM ,madelinemurray,madelinemurray,Medium,Done,Done,07/Jan/20 5:29 PM,,,besu-privacy
Task,BESU-159,43733,16/Dec/19 8:03 PM,Update quickstart doc to match updated quickstart ,,madelinemurray,Medium,Done,Done,31/Dec/19 1:58 PM,,,besu-docs
Task,BESU-111,43319,14/Nov/19 11:09 AM,Doc use of ELK stack for monitoring logs ,,madelinemurray,Medium,Done,Done,31/Dec/19 1:15 PM,,,besu-docs
Task,BESU-120,43374,19/Nov/19 4:34 PM,Doc using external JWT public key in authenticated APIs ,,madelinemurray,Medium,Done,Done,31/Dec/19 12:58 PM,,,besu-docs
Task,BESU-108,43302,13/Nov/19 7:49 PM,Doc how to fork IBFT validators at a given block,,madelinemurray,Medium,Done,Done,31/Dec/19 12:57 PM,,,besu-docs
Task,BESU-133,43477,27/Nov/19 9:36 AM,Create privacy group and add member design breakdown ,pinges,madelinemurray,Medium,Done,Done,11/Dec/19 12:28 PM,,,besu-privacy
Improvement,BESU-54,43162,06/Nov/19 10:48 PM,Validate number of parameters on RPC request,sweexordious,timbeiko,Medium,Done,Done,07/Dec/19 1:31 AM,,,
Bug,BESU-116,43354,16/Nov/19 1:52 PM,Classic network fails to fast sync,mackcom,shemnon,Medium,Done,Done,05/Dec/19 6:17 AM,,,
Task,BESU-21,43122,06/Nov/19 1:03 AM,Measure Pantheon TPS For Token Transfers,,timbeiko,Medium,Done,Done,05/Dec/19 12:37 AM,,,
New Feature,BESU-13,43110,05/Nov/19 8:40 PM,[Design] Create network fork on IBFT2.0 network,,arash009,Medium,Done,Done,04/Dec/19 1:54 PM,,,
Task,BESU-103,43265,11/Nov/19 6:50 PM,Migrate Orion payloads,lucassaldanha,madelinemurray,Medium,Done,Done,03/Dec/19 1:39 PM,,,besu-privacy
Task,BESU-102,43264,11/Nov/19 6:37 PM,Initalize privacy group,madelinemurray,madelinemurray,Medium,Done,Done,03/Dec/19 10:41 AM,,,besu-privacy
Task,BESU-101,43263,11/Nov/19 6:35 PM,Create privacy group Precompile/genesis ,madelinemurray,madelinemurray,Medium,Done,Done,03/Dec/19 10:41 AM,,,besu-privacy
Task,BESU-118,43361,18/Nov/19 9:07 AM,Define how to build up the data when adding a participant to a group,pinges,madelinemurray,Medium,Done,Done,03/Dec/19 10:40 AM,,,besu-privacy
Task,BESU-127,43409,21/Nov/19 11:43 AM,Test migration of privacy state ,pinges,madelinemurray,Medium,Done,Done,03/Dec/19 10:39 AM,,,besu-privacy
Bug,BESU-110,43315,14/Nov/19 7:01 AM,Fix broken links on Changelog page,sweexordious,MohamedAbdulaziz,Medium,Done,Done,02/Dec/19 9:33 AM,,,
Bug,BESU-134,43490,28/Nov/19 4:15 PM,Disable EEA and PRIV APIs if privacy is disabled ,lucassaldanha,madelinemurray,Medium,Done,Done,29/Nov/19 1:52 PM,,,besu-privacy
Task,BESU-107,43288,12/Nov/19 3:53 PM,Update export address command to remove reference to public key address,MohamedAbdulaziz,madelinemurray,Medium,Done,Done,29/Nov/19 12:51 AM,,,
Improvement,BESU-33,43138,06/Nov/19 8:29 AM,Refactor Besu <> Orion communication to use Vertx HttpClient,,arash009,Medium,Done,Done,28/Nov/19 8:06 PM,,,
Bug,BESU-72,43183,07/Nov/19 4:49 AM,Update RocksDB version,shemnon,shemnon,Medium,Done,Done,26/Nov/19 4:20 AM,,,
Bug,BESU-128,43412,22/Nov/19 12:26 AM,PING/PONG frames handling in Websocket services is not implemented,lucassaldanha,NicolasMassart,Medium,Done,Done,22/Nov/19 9:31 AM,,,
Task,BESU-65,43173,06/Nov/19 11:03 PM,Remove unused genesis file items ,sweexordious,timbeiko,Medium,Done,Done,20/Nov/19 12:20 AM,,,
Bug,BESU-114,43348,15/Nov/19 7:29 PM,"Duplicated content on doc 'Creating and sending private transactions""
",MohamedAbdulaziz,NicolasMassart,Medium,Done,Done,18/Nov/19 4:21 PM,,,besu-docs
Improvement,BESU-10,43089,04/Nov/19 10:31 AM,Make doc on using web3j and web3js with Besu findable ,,madelinemurray,Medium,Done,Done,11/Nov/19 4:26 PM,,,besu-docs
Task,BESU-76,43199,07/Nov/19 12:31 PM,Update so only Besu privacy groups visible to user ,madelinemurray,madelinemurray,Medium,Done,Done,07/Nov/19 12:46 PM,,,besu-privacy
Task,BESU-22,43123,06/Nov/19 1:04 AM,Disregard this issue.,,timbeiko,Medium,Done,Done,06/Nov/19 1:06 AM,,,
Bug,BESU-170,43809,30/Dec/19 5:51 PM,"Acceptance tests run lots of JVMs in parallel, causing spurious timeouts",,hmijail,Low,Done,Done,27/Mar/20 9:28 AM,,,
Bug,BESU-146,43555,05/Dec/19 5:37 AM,Gas estimate much higher than expected on value transfer calls,,jimthematrix,Low,Done,Done,27/Mar/20 6:38 AM,,,
New Feature,BESU-1,43080,04/Nov/19 6:48 AM,Update JSON-RPC over HTTP error responses to return 200 status code,,arash009,Low,Done,Done,22/Mar/20 1:53 PM,,,
Bug,BESU-177,43993,15/Jan/20 2:11 AM,Move away from binary '.bin' blobs in tracing testing,shemnon,shemnon,Low,Done,Done,17/Mar/20 11:42 PM,,,
Bug,BESU-82,43216,08/Nov/19 2:29 AM,Enforce option dependencies for experimental options,,ratanraisur,Low,Done,Done,17/Mar/20 11:02 PM,,,
Bug,BESU-60,43168,06/Nov/19 10:53 PM,Flaky Acceptance Test EthGetWorkAcceptanceTest.shouldReturnSuccessResponseWhenMining,,timbeiko,Low,Done,Done,17/Mar/20 10:21 PM,,,
Bug,BESU-59,43167,06/Nov/19 10:53 PM,Flakey Test failure in https://jenkins.pegasys.tech/job/Besu/job/master/71/,,timbeiko,Low,Done,Done,17/Mar/20 10:21 PM,,,
Bug,BESU-147,43556,05/Dec/19 7:04 AM,Besu README still links to Pegasys PAN dashboard ,,NicolasMassart,Low,Done,Done,17/Mar/20 6:45 PM,,,
Bug,BESU-149,43600,05/Dec/19 6:51 PM,Besu docs contain links to Pantheon Jira,faraggi,faraggi,Low,Done,Done,17/Mar/20 6:45 PM,,,besu-docs
Bug,BESU-57,43165,06/Nov/19 10:51 PM,Deframer error flooding log,,timbeiko,Low,Done,Done,17/Mar/20 5:57 AM,,,
Bug,BESU-125,43397,21/Nov/19 12:37 AM,Test failure on Master Build for p2p,,timbeiko,Low,Done,Done,17/Mar/20 5:56 AM,,,
Bug,BESU-30,43131,06/Nov/19 1:16 AM,Performance degrades over time,,timbeiko,Low,Done,Done,17/Mar/20 5:35 AM,,,
Task,BESU-195,44257,04/Feb/20 2:51 PM,Test Ticket for Synchronisation,bretthenderson,bretthenderson,Lowest,Done,Done,04/Mar/20 2:38 PM,,,
Improvement,BESU-199,44279,07/Feb/20 4:03 AM,Test Ticket for Synchronisation,,pegasys-proxy-user,Lowest,Done,Done,04/Mar/20 2:38 PM,,,
